"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2010","France","NA","Total","Total","Total positive decisions","Person","0",""
"2010","France","NA","Males","Total","Total positive decisions","Person","0",""
"2010","France","NA","Females","Total","Total positive decisions","Person","0",""
"2010","France","ZA","Total","Total","Total positive decisions","Person","0",""
"2010","France","ZA","Males","Total","Total positive decisions","Person","0",""
"2010","France","ZA","Females","Total","Total positive decisions","Person","0",""
"2010","France","SZ","Total","Total","Total positive decisions","Person","0",""
"2010","France","SZ","Males","Total","Total positive decisions","Person","0",""
"2010","France","SZ","Females","Total","Total positive decisions","Person","0",""
"2010","France","BJ","Total","Total","Total positive decisions","Person","0",""
"2010","France","BJ","Males","Total","Total positive decisions","Person","0",""
"2010","France","BJ","Females","Total","Total positive decisions","Person","0",""
"2010","France","BF","Total","Total","Total positive decisions","Person","0",""
"2010","France","BF","Males","Total","Total positive decisions","Person","0",""
"2010","France","BF","Females","Total","Total positive decisions","Person","0",""
"2010","France","CV","Total","Total","Total positive decisions","Person","0",""
"2010","France","CV","Males","Total","Total positive decisions","Person","0",""
"2010","France","CV","Females","Total","Total positive decisions","Person","0",""
"2010","France","CI","Total","Total","Total positive decisions","Person","130",""
"2010","France","CI","Males","Total","Total positive decisions","Person","55",""
"2010","France","CI","Females","Total","Total positive decisions","Person","75",""
"2010","France","GM","Total","Total","Total positive decisions","Person","0",""
"2010","France","GM","Males","Total","Total positive decisions","Person","0",""
"2010","France","GM","Females","Total","Total positive decisions","Person","0",""
"2010","France","GH","Total","Total","Total positive decisions","Person","0",""
"2010","France","GH","Males","Total","Total positive decisions","Person","0",""
"2010","France","GH","Females","Total","Total positive decisions","Person","0",""
"2010","France","GN","Total","Total","Total positive decisions","Person","255",""
"2010","France","GN","Males","Total","Total positive decisions","Person","80",""
"2010","France","GN","Females","Total","Total positive decisions","Person","175",""
"2010","France","GW","Total","Total","Total positive decisions","Person","25",""
"2010","France","GW","Males","Total","Total positive decisions","Person","10",""
"2010","France","GW","Females","Total","Total positive decisions","Person","10",""
"2010","France","LR","Total","Total","Total positive decisions","Person","5",""
"2010","France","LR","Males","Total","Total positive decisions","Person","0",""
"2010","France","LR","Females","Total","Total positive decisions","Person","0",""
"2010","France","ML","Total","Total","Total positive decisions","Person","425",""
"2010","France","ML","Males","Total","Total positive decisions","Person","110",""
"2010","France","ML","Females","Total","Total positive decisions","Person","315",""
"2010","France","MR","Total","Total","Total positive decisions","Person","80",""
"2010","France","MR","Males","Total","Total positive decisions","Person","35",""
"2010","France","MR","Females","Total","Total positive decisions","Person","45",""
"2010","France","NE","Total","Total","Total positive decisions","Person","0",""
"2010","France","NE","Males","Total","Total positive decisions","Person","0",""
"2010","France","NE","Females","Total","Total positive decisions","Person","0",""
"2010","France","NG","Total","Total","Total positive decisions","Person","25",""
"2010","France","NG","Males","Total","Total positive decisions","Person","10",""
"2010","France","NG","Females","Total","Total positive decisions","Person","15",""
"2010","France","SN","Total","Total","Total positive decisions","Person","70",""
"2010","France","SN","Males","Total","Total positive decisions","Person","20",""
"2010","France","SN","Females","Total","Total positive decisions","Person","50",""
"2010","France","SL","Total","Total","Total positive decisions","Person","15",""
"2010","France","SL","Males","Total","Total positive decisions","Person","5",""
"2010","France","SL","Females","Total","Total positive decisions","Person","10",""
"2010","France","TG","Total","Total","Total positive decisions","Person","25",""
"2010","France","TG","Males","Total","Total positive decisions","Person","10",""
"2010","France","TG","Females","Total","Total positive decisions","Person","15",""
"2010","France","CA","Total","Total","Total positive decisions","Person","0",""
"2010","France","CA","Males","Total","Total positive decisions","Person","0",""
"2010","France","CA","Females","Total","Total positive decisions","Person","0",""
"2010","France","US","Total","Total","Total positive decisions","Person","0",""
"2010","France","US","Males","Total","Total positive decisions","Person","0",""
"2010","France","US","Females","Total","Total positive decisions","Person","0",""
"2010","France","AG","Total","Total","Total positive decisions","Person","0",""
"2010","France","AG","Males","Total","Total positive decisions","Person","0",""
"2010","France","AG","Females","Total","Total positive decisions","Person","0",""
"2010","France","BS","Total","Total","Total positive decisions","Person","0",""
"2010","France","BS","Males","Total","Total positive decisions","Person","0",""
"2010","France","BS","Females","Total","Total positive decisions","Person","0",""
"2010","France","BB","Total","Total","Total positive decisions","Person","0",""
"2010","France","BB","Males","Total","Total positive decisions","Person","0",""
"2010","France","BB","Females","Total","Total positive decisions","Person","0",""
"2010","France","CU","Total","Total","Total positive decisions","Person","0",""
"2010","France","CU","Males","Total","Total positive decisions","Person","0",""
"2010","France","CU","Females","Total","Total positive decisions","Person","0",""
"2010","France","DM","Total","Total","Total positive decisions","Person","0",""
"2010","France","DM","Males","Total","Total positive decisions","Person","0",""
"2010","France","DM","Females","Total","Total positive decisions","Person","0",""
"2010","France","DO","Total","Total","Total positive decisions","Person","0",""
"2010","France","DO","Males","Total","Total positive decisions","Person","0",""
"2010","France","DO","Females","Total","Total positive decisions","Person","0",""
"2010","France","GD","Total","Total","Total positive decisions","Person","0",""
"2010","France","GD","Males","Total","Total positive decisions","Person","0",""
"2010","France","GD","Females","Total","Total positive decisions","Person","0",""
"2010","France","HT","Total","Total","Total positive decisions","Person","150",""
"2010","France","HT","Males","Total","Total positive decisions","Person","70",""
"2010","France","HT","Females","Total","Total positive decisions","Person","85",""
"2010","France","JM","Total","Total","Total positive decisions","Person","0",""
"2010","France","JM","Males","Total","Total positive decisions","Person","0",""
"2010","France","JM","Females","Total","Total positive decisions","Person","0",""
"2010","France","KN","Total","Total","Total positive decisions","Person","0",""
"2010","France","KN","Males","Total","Total positive decisions","Person","0",""
"2010","France","KN","Females","Total","Total positive decisions","Person","0",""
"2010","France","LC","Total","Total","Total positive decisions","Person","0",""
"2010","France","LC","Males","Total","Total positive decisions","Person","0",""
"2010","France","LC","Females","Total","Total positive decisions","Person","0",""
"2010","France","VC","Total","Total","Total positive decisions","Person","0",""
"2010","France","VC","Males","Total","Total positive decisions","Person","0",""
"2010","France","VC","Females","Total","Total positive decisions","Person","0",""
"2010","France","TT","Total","Total","Total positive decisions","Person","0",""
"2010","France","TT","Males","Total","Total positive decisions","Person","0",""
"2010","France","TT","Females","Total","Total positive decisions","Person","0",""
"2010","France","BZ","Total","Total","Total positive decisions","Person","0",""
"2010","France","BZ","Males","Total","Total positive decisions","Person","0",""
"2010","France","BZ","Females","Total","Total positive decisions","Person","0",""
"2010","France","CR","Total","Total","Total positive decisions","Person","0",""
"2010","France","CR","Males","Total","Total positive decisions","Person","0",""
"2010","France","CR","Females","Total","Total positive decisions","Person","0",""
"2010","France","SV","Total","Total","Total positive decisions","Person","0",""
"2010","France","SV","Males","Total","Total positive decisions","Person","0",""
"2010","France","SV","Females","Total","Total positive decisions","Person","0",""
"2010","France","GT","Total","Total","Total positive decisions","Person","0",""
"2010","France","GT","Males","Total","Total positive decisions","Person","0",""
"2010","France","GT","Females","Total","Total positive decisions","Person","0",""
"2010","France","HN","Total","Total","Total positive decisions","Person","0",""
"2010","France","HN","Males","Total","Total positive decisions","Person","0",""
"2010","France","HN","Females","Total","Total positive decisions","Person","0",""
"2010","France","MX","Total","Total","Total positive decisions","Person","0",""
"2010","France","MX","Males","Total","Total positive decisions","Person","0",""
"2010","France","MX","Females","Total","Total positive decisions","Person","0",""
"2010","France","NI","Total","Total","Total positive decisions","Person","0",""
"2010","France","NI","Males","Total","Total positive decisions","Person","0",""
"2010","France","NI","Females","Total","Total positive decisions","Person","0",""
"2010","France","PA","Total","Total","Total positive decisions","Person","0",""
"2010","France","PA","Males","Total","Total positive decisions","Person","0",""
"2010","France","PA","Females","Total","Total positive decisions","Person","0",""
"2010","France","AR","Total","Total","Total positive decisions","Person","0",""
"2010","France","AR","Males","Total","Total positive decisions","Person","0",""
"2010","France","AR","Females","Total","Total positive decisions","Person","0",""
"2010","France","BO","Total","Total","Total positive decisions","Person","0",""
"2010","France","BO","Males","Total","Total positive decisions","Person","0",""
"2010","France","BO","Females","Total","Total positive decisions","Person","0",""
"2010","France","BR","Total","Total","Total positive decisions","Person","5",""
"2010","France","BR","Males","Total","Total positive decisions","Person","0",""
"2010","France","BR","Females","Total","Total positive decisions","Person","0",""
"2010","France","CL","Total","Total","Total positive decisions","Person","0",""
"2010","France","CL","Males","Total","Total positive decisions","Person","0",""
"2010","France","CL","Females","Total","Total positive decisions","Person","0",""
"2010","France","CO","Total","Total","Total positive decisions","Person","20",""
"2010","France","CO","Males","Total","Total positive decisions","Person","10",""
"2010","France","CO","Females","Total","Total positive decisions","Person","10",""
"2010","France","EC","Total","Total","Total positive decisions","Person","0",""
"2010","France","EC","Males","Total","Total positive decisions","Person","0",""
"2010","France","EC","Females","Total","Total positive decisions","Person","0",""
"2010","France","GY","Total","Total","Total positive decisions","Person","0",""
"2010","France","GY","Males","Total","Total positive decisions","Person","0",""
"2010","France","GY","Females","Total","Total positive decisions","Person","0",""
"2010","France","PY","Total","Total","Total positive decisions","Person","0",""
"2010","France","PY","Males","Total","Total positive decisions","Person","0",""
"2010","France","PY","Females","Total","Total positive decisions","Person","0",""
"2010","France","PE","Total","Total","Total positive decisions","Person","5",""
"2010","France","PE","Males","Total","Total positive decisions","Person","0",""
"2010","France","PE","Females","Total","Total positive decisions","Person","5",""
"2010","France","SR","Total","Total","Total positive decisions","Person","0",""
"2010","France","SR","Males","Total","Total positive decisions","Person","0",""
"2010","France","SR","Females","Total","Total positive decisions","Person","0",""
"2010","France","UY","Total","Total","Total positive decisions","Person","0",""
"2010","France","UY","Males","Total","Total positive decisions","Person","0",""
"2010","France","UY","Females","Total","Total positive decisions","Person","0",""
"2010","France","VE","Total","Total","Total positive decisions","Person","0",""
"2010","France","VE","Males","Total","Total positive decisions","Person","0",""
"2010","France","VE","Females","Total","Total positive decisions","Person","0",""
"2010","France","KZ","Total","Total","Total positive decisions","Person","0",""
"2010","France","KZ","Males","Total","Total positive decisions","Person","0",""
"2010","France","KZ","Females","Total","Total positive decisions","Person","0",""
"2010","France","KG","Total","Total","Total positive decisions","Person","0",""
"2010","France","KG","Males","Total","Total positive decisions","Person","0",""
"2010","France","KG","Females","Total","Total positive decisions","Person","0",""
"2010","France","TJ","Total","Total","Total positive decisions","Person","0",""
"2010","France","TJ","Males","Total","Total positive decisions","Person","0",""
"2010","France","TJ","Females","Total","Total positive decisions","Person","0",""
"2010","France","TM","Total","Total","Total positive decisions","Person","0",""
"2010","France","TM","Males","Total","Total positive decisions","Person","0",""
"2010","France","TM","Females","Total","Total positive decisions","Person","0",""
"2010","France","UZ","Total","Total","Total positive decisions","Person","5",""
"2010","France","UZ","Males","Total","Total positive decisions","Person","0",""
"2010","France","UZ","Females","Total","Total positive decisions","Person","0",""
"2010","France","CN","Total","Total","Total positive decisions","Person","140",""
"2010","France","CN","Males","Total","Total positive decisions","Person","90",""
"2010","France","CN","Females","Total","Total positive decisions","Person","50",""
"2010","France","JP","Total","Total","Total positive decisions","Person","0",""
"2010","France","JP","Males","Total","Total positive decisions","Person","0",""
"2010","France","JP","Females","Total","Total positive decisions","Person","0",""
"2010","France","MN","Total","Total","Total positive decisions","Person","5",""
"2010","France","MN","Males","Total","Total positive decisions","Person","0",""
"2010","France","MN","Females","Total","Total positive decisions","Person","5",""
"2010","France","KP","Total","Total","Total positive decisions","Person","0",""
"2010","France","KP","Males","Total","Total positive decisions","Person","0",""
"2010","France","KP","Females","Total","Total positive decisions","Person","0",""
"2010","France","KR","Total","Total","Total positive decisions","Person","0",""
"2010","France","KR","Males","Total","Total positive decisions","Person","0",""
"2010","France","KR","Females","Total","Total positive decisions","Person","0",""
"2010","France","TW","Total","Total","Total positive decisions","Person","0",""
"2010","France","TW","Males","Total","Total positive decisions","Person","0",""
"2010","France","TW","Females","Total","Total positive decisions","Person","0",""
"2010","France","AF","Total","Total","Total positive decisions","Person","155",""
"2010","France","AF","Males","Total","Total positive decisions","Person","135",""
"2010","France","AF","Females","Total","Total positive decisions","Person","25",""
"2010","France","BD","Total","Total","Total positive decisions","Person","25",""
"2010","France","BD","Males","Total","Total positive decisions","Person","20",""
"2010","France","BD","Females","Total","Total positive decisions","Person","5",""
"2010","France","BT","Total","Total","Total positive decisions","Person","0",""
"2010","France","BT","Males","Total","Total positive decisions","Person","0",""
"2010","France","BT","Females","Total","Total positive decisions","Person","0",""
"2010","France","IN","Total","Total","Total positive decisions","Person","0",""
"2010","France","IN","Males","Total","Total positive decisions","Person","0",""
"2010","France","IN","Females","Total","Total positive decisions","Person","0",""
"2010","France","IR","Total","Total","Total positive decisions","Person","185",""
"2010","France","IR","Males","Total","Total positive decisions","Person","120",""
"2010","France","IR","Females","Total","Total positive decisions","Person","65",""
"2010","France","MV","Total","Total","Total positive decisions","Person","0",""
"2010","France","MV","Males","Total","Total positive decisions","Person","0",""
"2010","France","MV","Females","Total","Total positive decisions","Person","0",""
"2010","France","NP","Total","Total","Total positive decisions","Person","0",""
"2010","France","NP","Males","Total","Total positive decisions","Person","0",""
"2010","France","NP","Females","Total","Total positive decisions","Person","0",""
"2010","France","PK","Total","Total","Total positive decisions","Person","15",""
"2010","France","PK","Males","Total","Total positive decisions","Person","15",""
"2010","France","PK","Females","Total","Total positive decisions","Person","0",""
"2010","France","LK","Total","Total","Total positive decisions","Person","585",""
"2010","France","LK","Males","Total","Total positive decisions","Person","395",""
"2010","France","LK","Females","Total","Total positive decisions","Person","190",""
"2010","France","BN","Total","Total","Total positive decisions","Person","0",""
"2010","France","BN","Males","Total","Total positive decisions","Person","0",""
"2010","France","BN","Females","Total","Total positive decisions","Person","0",""
"2010","France","KH","Total","Total","Total positive decisions","Person","10",""
"2010","France","KH","Males","Total","Total positive decisions","Person","10",""
"2010","France","KH","Females","Total","Total positive decisions","Person","0",""
"2010","France","ID","Total","Total","Total positive decisions","Person","0",""
"2010","France","ID","Males","Total","Total positive decisions","Person","0",""
"2010","France","ID","Females","Total","Total positive decisions","Person","0",""
"2010","France","LA","Total","Total","Total positive decisions","Person","5",""
"2010","France","LA","Males","Total","Total positive decisions","Person","0",""
"2010","France","LA","Females","Total","Total positive decisions","Person","0",""
"2010","France","MY","Total","Total","Total positive decisions","Person","0",""
"2010","France","MY","Males","Total","Total positive decisions","Person","0",""
"2010","France","MY","Females","Total","Total positive decisions","Person","0",""
"2010","France","MM","Total","Total","Total positive decisions","Person","10",""
"2010","France","MM","Males","Total","Total positive decisions","Person","5",""
"2010","France","MM","Females","Total","Total positive decisions","Person","5",""
"2010","France","PH","Total","Total","Total positive decisions","Person","0",""
"2010","France","PH","Males","Total","Total positive decisions","Person","0",""
"2010","France","PH","Females","Total","Total positive decisions","Person","0",""
"2010","France","SG","Total","Total","Total positive decisions","Person","0",""
"2010","France","SG","Males","Total","Total positive decisions","Person","0",""
"2010","France","SG","Females","Total","Total positive decisions","Person","0",""
"2010","France","TH","Total","Total","Total positive decisions","Person","0",""
"2010","France","TH","Males","Total","Total positive decisions","Person","0",""
"2010","France","TH","Females","Total","Total positive decisions","Person","0",""
"2010","France","TL","Total","Total","Total positive decisions","Person","0",""
"2010","France","TL","Males","Total","Total positive decisions","Person","0",""
"2010","France","TL","Females","Total","Total positive decisions","Person","0",""
"2010","France","VN","Total","Total","Total positive decisions","Person","0",""
"2010","France","VN","Males","Total","Total positive decisions","Person","0",""
"2010","France","VN","Females","Total","Total positive decisions","Person","0",""
"2010","France","AM","Total","Total","Total positive decisions","Person","125",""
"2010","France","AM","Males","Total","Total positive decisions","Person","55",""
"2010","France","AM","Females","Total","Total positive decisions","Person","65",""
"2010","France","AZ","Total","Total","Total positive decisions","Person","75",""
"2010","France","AZ","Males","Total","Total positive decisions","Person","30",""
"2010","France","AZ","Females","Total","Total positive decisions","Person","45",""
"2010","France","BH","Total","Total","Total positive decisions","Person","0",""
"2010","France","BH","Males","Total","Total positive decisions","Person","0",""
"2010","France","BH","Females","Total","Total positive decisions","Person","0",""
"2010","France","GE","Total","Total","Total positive decisions","Person","15",""
"2010","France","GE","Males","Total","Total positive decisions","Person","10",""
"2010","France","GE","Females","Total","Total positive decisions","Person","5",""
"2010","France","IQ","Total","Total","Total positive decisions","Person","250",""
"2010","France","IQ","Males","Total","Total positive decisions","Person","120",""
"2010","France","IQ","Females","Total","Total positive decisions","Person","130",""
"2010","France","IL","Total","Total","Total positive decisions","Person","0",""
"2010","France","IL","Males","Total","Total positive decisions","Person","0",""
"2010","France","IL","Females","Total","Total positive decisions","Person","0",""
"2010","France","JO","Total","Total","Total positive decisions","Person","5",""
"2010","France","JO","Males","Total","Total positive decisions","Person","0",""
"2010","France","JO","Females","Total","Total positive decisions","Person","5",""
"2010","France","KW","Total","Total","Total positive decisions","Person","0",""
"2010","France","KW","Males","Total","Total positive decisions","Person","0",""
"2010","France","KW","Females","Total","Total positive decisions","Person","0",""
"2010","France","LB","Total","Total","Total positive decisions","Person","0",""
"2010","France","LB","Males","Total","Total positive decisions","Person","0",""
"2010","France","LB","Females","Total","Total positive decisions","Person","0",""
"2010","France","PS","Total","Total","Total positive decisions","Person","40",""
"2010","France","PS","Males","Total","Total positive decisions","Person","30",""
"2010","France","PS","Females","Total","Total positive decisions","Person","5",""
"2010","France","OM","Total","Total","Total positive decisions","Person","0",""
"2010","France","OM","Males","Total","Total positive decisions","Person","0",""
"2010","France","OM","Females","Total","Total positive decisions","Person","0",""
"2010","France","QA","Total","Total","Total positive decisions","Person","0",""
"2010","France","QA","Males","Total","Total positive decisions","Person","0",""
"2010","France","QA","Females","Total","Total positive decisions","Person","0",""
"2010","France","SA","Total","Total","Total positive decisions","Person","0",""
"2010","France","SA","Males","Total","Total positive decisions","Person","0",""
"2010","France","SA","Females","Total","Total positive decisions","Person","0",""
"2010","France","SY","Total","Total","Total positive decisions","Person","25",""
"2010","France","SY","Males","Total","Total positive decisions","Person","20",""
"2010","France","SY","Females","Total","Total positive decisions","Person","10",""
"2010","France","AE","Total","Total","Total positive decisions","Person","0",""
"2010","France","AE","Males","Total","Total positive decisions","Person","0",""
"2010","France","AE","Females","Total","Total positive decisions","Person","0",""
"2010","France","YE","Total","Total","Total positive decisions","Person","5",""
"2010","France","YE","Males","Total","Total positive decisions","Person","0",""
"2010","France","YE","Females","Total","Total positive decisions","Person","0",""
"2010","France","AU","Total","Total","Total positive decisions","Person","0",""
"2010","France","AU","Males","Total","Total positive decisions","Person","0",""
"2010","France","AU","Females","Total","Total positive decisions","Person","0",""
"2010","France","NZ","Total","Total","Total positive decisions","Person","0",""
"2010","France","NZ","Males","Total","Total positive decisions","Person","0",""
"2010","France","NZ","Females","Total","Total positive decisions","Person","0",""
"2010","France","FJ","Total","Total","Total positive decisions","Person","0",""
"2010","France","FJ","Males","Total","Total positive decisions","Person","0",""
"2010","France","FJ","Females","Total","Total positive decisions","Person","0",""
"2010","France","PG","Total","Total","Total positive decisions","Person","0",""
"2010","France","PG","Males","Total","Total positive decisions","Person","0",""
"2010","France","PG","Females","Total","Total positive decisions","Person","0",""
"2010","France","SB","Total","Total","Total positive decisions","Person","0",""
"2010","France","SB","Males","Total","Total positive decisions","Person","0",""
"2010","France","SB","Females","Total","Total positive decisions","Person","0",""
"2010","France","VU","Total","Total","Total positive decisions","Person","0",""
"2010","France","VU","Males","Total","Total positive decisions","Person","0",""
"2010","France","VU","Females","Total","Total positive decisions","Person","0",""
"2010","France","KI","Total","Total","Total positive decisions","Person","0",""
"2010","France","KI","Males","Total","Total positive decisions","Person","0",""
"2010","France","KI","Females","Total","Total positive decisions","Person","0",""
"2010","France","MH","Total","Total","Total positive decisions","Person","0",""
"2010","France","MH","Males","Total","Total positive decisions","Person","0",""
"2010","France","MH","Females","Total","Total positive decisions","Person","0",""
"2010","France","FM","Total","Total","Total positive decisions","Person","0",""
"2010","France","FM","Males","Total","Total positive decisions","Person","0",""
"2010","France","FM","Females","Total","Total positive decisions","Person","0",""
"2010","France","NR","Total","Total","Total positive decisions","Person","0",""
"2010","France","NR","Males","Total","Total positive decisions","Person","0",""
"2010","France","NR","Females","Total","Total positive decisions","Person","0",""
"2010","France","PW","Total","Total","Total positive decisions","Person","0",""
"2010","France","PW","Males","Total","Total positive decisions","Person","0",""
"2010","France","PW","Females","Total","Total positive decisions","Person","0",""
"2010","France","CK","Total","Total","Total positive decisions","Person","0",""
"2010","France","CK","Males","Total","Total positive decisions","Person","0",""
"2010","France","CK","Females","Total","Total positive decisions","Person","0",""
"2010","France","WS","Total","Total","Total positive decisions","Person","0",""
"2010","France","WS","Males","Total","Total positive decisions","Person","0",""
"2010","France","WS","Females","Total","Total positive decisions","Person","0",""
"2010","France","TO","Total","Total","Total positive decisions","Person","0",""
"2010","France","TO","Males","Total","Total positive decisions","Person","0",""
"2010","France","TO","Females","Total","Total positive decisions","Person","0",""
"2010","France","TV","Total","Total","Total positive decisions","Person","0",""
"2010","France","TV","Males","Total","Total positive decisions","Person","0",""
"2010","France","TV","Females","Total","Total positive decisions","Person","0",""
"2010","France","TOTAL","Total","Total","Total positive decisions","Person","5,095",""
"2010","France","TOTAL","Males","Total","Total positive decisions","Person","2,815",""
"2010","France","TOTAL","Females","Total","Total positive decisions","Person","2,280",""
"2011","France","AO","Total","Total","Total positive decisions","Person","25",""
"2011","France","AO","Males","Total","Total positive decisions","Person","10",""
