"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2010","France","MG","Males","Total","First time applicant","Person","130",""
"2010","France","MG","Females","Total","First time applicant","Person","135",""
"2010","France","MW","Total","Total","First time applicant","Person","0",""
"2010","France","MW","Males","Total","First time applicant","Person","0",""
"2010","France","MW","Females","Total","First time applicant","Person","0",""
"2010","France","MU","Total","Total","First time applicant","Person","5",""
"2010","France","MU","Males","Total","First time applicant","Person","5",""
"2010","France","MU","Females","Total","First time applicant","Person","0",""
"2010","France","MZ","Total","Total","First time applicant","Person","5",""
"2010","France","MZ","Males","Total","First time applicant","Person","0",""
"2010","France","MZ","Females","Total","First time applicant","Person","0",""
"2010","France","RW","Total","Total","First time applicant","Person","300",""
"2010","France","RW","Males","Total","First time applicant","Person","175",""
"2010","France","RW","Females","Total","First time applicant","Person","125",""
"2010","France","SC","Total","Total","First time applicant","Person","0",""
"2010","France","SC","Males","Total","First time applicant","Person","0",""
"2010","France","SC","Females","Total","First time applicant","Person","0",""
"2010","France","SO","Total","Total","First time applicant","Person","420",""
"2010","France","SO","Males","Total","First time applicant","Person","305",""
"2010","France","SO","Females","Total","First time applicant","Person","115",""
"2010","France","UG","Total","Total","First time applicant","Person","20",""
"2010","France","UG","Males","Total","First time applicant","Person","10",""
"2010","France","UG","Females","Total","First time applicant","Person","5",""
"2010","France","TZ","Total","Total","First time applicant","Person","0",""
"2010","France","TZ","Males","Total","First time applicant","Person","0",""
"2010","France","TZ","Females","Total","First time applicant","Person","0",""
"2010","France","ZM","Total","Total","First time applicant","Person","0",""
"2010","France","ZM","Males","Total","First time applicant","Person","0",""
"2010","France","ZM","Females","Total","First time applicant","Person","0",""
"2010","France","ZW","Total","Total","First time applicant","Person","10",""
"2010","France","ZW","Males","Total","First time applicant","Person","5",""
"2010","France","ZW","Females","Total","First time applicant","Person","0",""
"2010","France","DZ","Total","Total","First time applicant","Person","1,175",""
"2010","France","DZ","Males","Total","First time applicant","Person","905",""
"2010","France","DZ","Females","Total","First time applicant","Person","270",""
"2010","France","EG","Total","Total","First time applicant","Person","100",""
"2010","France","EG","Males","Total","First time applicant","Person","70",""
"2010","France","EG","Females","Total","First time applicant","Person","30",""
"2010","France","LY","Total","Total","First time applicant","Person","15",""
"2010","France","LY","Males","Total","First time applicant","Person","10",""
"2010","France","LY","Females","Total","First time applicant","Person","5",""
"2010","France","MA","Total","Total","First time applicant","Person","110",""
"2010","France","MA","Males","Total","First time applicant","Person","75",""
"2010","France","MA","Females","Total","First time applicant","Person","30",""
"2010","France","SS","Total","Total","First time applicant","Person",":",""
"2010","France","SS","Males","Total","First time applicant","Person",":",""
"2010","France","SS","Females","Total","First time applicant","Person",":",""
"2010","France","SD","Total","Total","First time applicant","Person","820",""
"2010","France","SD","Males","Total","First time applicant","Person","715",""
"2010","France","SD","Females","Total","First time applicant","Person","105",""
"2010","France","TN","Total","Total","First time applicant","Person","60",""
"2010","France","TN","Males","Total","First time applicant","Person","50",""
"2010","France","TN","Females","Total","First time applicant","Person","15",""
"2010","France","EH","Total","Total","First time applicant","Person","10",""
"2010","France","EH","Males","Total","First time applicant","Person","10",""
"2010","France","EH","Females","Total","First time applicant","Person","0",""
"2010","France","BW","Total","Total","First time applicant","Person","0",""
"2010","France","BW","Males","Total","First time applicant","Person","0",""
"2010","France","BW","Females","Total","First time applicant","Person","0",""
"2010","France","LS","Total","Total","First time applicant","Person","0",""
"2010","France","LS","Males","Total","First time applicant","Person","0",""
"2010","France","LS","Females","Total","First time applicant","Person","0",""
"2010","France","NA","Total","Total","First time applicant","Person","0",""
"2010","France","NA","Males","Total","First time applicant","Person","0",""
"2010","France","NA","Females","Total","First time applicant","Person","0",""
"2010","France","ZA","Total","Total","First time applicant","Person","10",""
"2010","France","ZA","Males","Total","First time applicant","Person","5",""
"2010","France","ZA","Females","Total","First time applicant","Person","0",""
"2010","France","SZ","Total","Total","First time applicant","Person","0",""
"2010","France","SZ","Males","Total","First time applicant","Person","0",""
"2010","France","SZ","Females","Total","First time applicant","Person","0",""
"2010","France","BJ","Total","Total","First time applicant","Person","10",""
"2010","France","BJ","Males","Total","First time applicant","Person","10",""
"2010","France","BJ","Females","Total","First time applicant","Person","0",""
"2010","France","BF","Total","Total","First time applicant","Person","30",""
"2010","France","BF","Males","Total","First time applicant","Person","15",""
"2010","France","BF","Females","Total","First time applicant","Person","10",""
"2010","France","CV","Total","Total","First time applicant","Person","0",""
"2010","France","CV","Males","Total","First time applicant","Person","0",""
"2010","France","CV","Females","Total","First time applicant","Person","0",""
"2010","France","CI","Total","Total","First time applicant","Person","535",""
"2010","France","CI","Males","Total","First time applicant","Person","325",""
"2010","France","CI","Females","Total","First time applicant","Person","210",""
"2010","France","GM","Total","Total","First time applicant","Person","60",""
"2010","France","GM","Males","Total","First time applicant","Person","45",""
"2010","France","GM","Females","Total","First time applicant","Person","15",""
"2010","France","GH","Total","Total","First time applicant","Person","15",""
"2010","France","GH","Males","Total","First time applicant","Person","10",""
"2010","France","GH","Females","Total","First time applicant","Person","5",""
"2010","France","GN","Total","Total","First time applicant","Person","2,040",""
"2010","France","GN","Males","Total","First time applicant","Person","1,355",""
"2010","France","GN","Females","Total","First time applicant","Person","685",""
"2010","France","GW","Total","Total","First time applicant","Person","195",""
"2010","France","GW","Males","Total","First time applicant","Person","165",""
"2010","France","GW","Females","Total","First time applicant","Person","35",""
"2010","France","LR","Total","Total","First time applicant","Person","35",""
"2010","France","LR","Males","Total","First time applicant","Person","25",""
"2010","France","LR","Females","Total","First time applicant","Person","10",""
"2010","France","ML","Total","Total","First time applicant","Person","715",""
"2010","France","ML","Males","Total","First time applicant","Person","235",""
"2010","France","ML","Females","Total","First time applicant","Person","480",""
"2010","France","MR","Total","Total","First time applicant","Person","990",""
"2010","France","MR","Males","Total","First time applicant","Person","800",""
"2010","France","MR","Females","Total","First time applicant","Person","190",""
"2010","France","NE","Total","Total","First time applicant","Person","15",""
"2010","France","NE","Males","Total","First time applicant","Person","10",""
"2010","France","NE","Females","Total","First time applicant","Person","5",""
"2010","France","NG","Total","Total","First time applicant","Person","745",""
"2010","France","NG","Males","Total","First time applicant","Person","345",""
"2010","France","NG","Females","Total","First time applicant","Person","400",""
"2010","France","SN","Total","Total","First time applicant","Person","195",""
"2010","France","SN","Males","Total","First time applicant","Person","80",""
"2010","France","SN","Females","Total","First time applicant","Person","115",""
"2010","France","SL","Total","Total","First time applicant","Person","100",""
"2010","France","SL","Males","Total","First time applicant","Person","55",""
"2010","France","SL","Females","Total","First time applicant","Person","45",""
"2010","France","TG","Total","Total","First time applicant","Person","165",""
"2010","France","TG","Males","Total","First time applicant","Person","125",""
"2010","France","TG","Females","Total","First time applicant","Person","40",""
"2010","France","CA","Total","Total","First time applicant","Person","0",""
"2010","France","CA","Males","Total","First time applicant","Person","0",""
"2010","France","CA","Females","Total","First time applicant","Person","0",""
"2010","France","US","Total","Total","First time applicant","Person","10",""
"2010","France","US","Males","Total","First time applicant","Person","5",""
"2010","France","US","Females","Total","First time applicant","Person","5",""
"2010","France","AG","Total","Total","First time applicant","Person","0",""
"2010","France","AG","Males","Total","First time applicant","Person","0",""
"2010","France","AG","Females","Total","First time applicant","Person","0",""
"2010","France","BS","Total","Total","First time applicant","Person","0",""
"2010","France","BS","Males","Total","First time applicant","Person","0",""
"2010","France","BS","Females","Total","First time applicant","Person","0",""
"2010","France","BB","Total","Total","First time applicant","Person","0",""
"2010","France","BB","Males","Total","First time applicant","Person","0",""
"2010","France","BB","Females","Total","First time applicant","Person","0",""
"2010","France","CU","Total","Total","First time applicant","Person","5",""
"2010","France","CU","Males","Total","First time applicant","Person","0",""
"2010","France","CU","Females","Total","First time applicant","Person","5",""
"2010","France","DM","Total","Total","First time applicant","Person","0",""
"2010","France","DM","Males","Total","First time applicant","Person","0",""
"2010","France","DM","Females","Total","First time applicant","Person","0",""
"2010","France","DO","Total","Total","First time applicant","Person","160",""
"2010","France","DO","Males","Total","First time applicant","Person","45",""
"2010","France","DO","Females","Total","First time applicant","Person","115",""
"2010","France","GD","Total","Total","First time applicant","Person","0",""
"2010","France","GD","Males","Total","First time applicant","Person","0",""
"2010","France","GD","Females","Total","First time applicant","Person","0",""
"2010","France","HT","Total","Total","First time applicant","Person","2,010",""
"2010","France","HT","Males","Total","First time applicant","Person","1,185",""
"2010","France","HT","Females","Total","First time applicant","Person","825",""
"2010","France","JM","Total","Total","First time applicant","Person","5",""
"2010","France","JM","Males","Total","First time applicant","Person","0",""
"2010","France","JM","Females","Total","First time applicant","Person","0",""
"2010","France","KN","Total","Total","First time applicant","Person","0",""
"2010","France","KN","Males","Total","First time applicant","Person","0",""
"2010","France","KN","Females","Total","First time applicant","Person","0",""
"2010","France","LC","Total","Total","First time applicant","Person","5",""
"2010","France","LC","Males","Total","First time applicant","Person","5",""
"2010","France","LC","Females","Total","First time applicant","Person","0",""
"2010","France","VC","Total","Total","First time applicant","Person","0",""
"2010","France","VC","Males","Total","First time applicant","Person","0",""
"2010","France","VC","Females","Total","First time applicant","Person","0",""
"2010","France","TT","Total","Total","First time applicant","Person","0",""
"2010","France","TT","Males","Total","First time applicant","Person","0",""
"2010","France","TT","Females","Total","First time applicant","Person","0",""
"2010","France","BZ","Total","Total","First time applicant","Person","0",""
"2010","France","BZ","Males","Total","First time applicant","Person","0",""
"2010","France","BZ","Females","Total","First time applicant","Person","0",""
"2010","France","CR","Total","Total","First time applicant","Person","0",""
"2010","France","CR","Males","Total","First time applicant","Person","0",""
"2010","France","CR","Females","Total","First time applicant","Person","0",""
"2010","France","SV","Total","Total","First time applicant","Person","0",""
"2010","France","SV","Males","Total","First time applicant","Person","0",""
"2010","France","SV","Females","Total","First time applicant","Person","0",""
"2010","France","GT","Total","Total","First time applicant","Person","0",""
"2010","France","GT","Males","Total","First time applicant","Person","0",""
"2010","France","GT","Females","Total","First time applicant","Person","0",""
"2010","France","HN","Total","Total","First time applicant","Person","0",""
"2010","France","HN","Males","Total","First time applicant","Person","0",""
"2010","France","HN","Females","Total","First time applicant","Person","0",""
"2010","France","MX","Total","Total","First time applicant","Person","5",""
"2010","France","MX","Males","Total","First time applicant","Person","5",""
"2010","France","MX","Females","Total","First time applicant","Person","0",""
"2010","France","NI","Total","Total","First time applicant","Person","0",""
"2010","France","NI","Males","Total","First time applicant","Person","0",""
"2010","France","NI","Females","Total","First time applicant","Person","0",""
"2010","France","PA","Total","Total","First time applicant","Person","0",""
"2010","France","PA","Males","Total","First time applicant","Person","0",""
"2010","France","PA","Females","Total","First time applicant","Person","0",""
"2010","France","AR","Total","Total","First time applicant","Person","0",""
"2010","France","AR","Males","Total","First time applicant","Person","0",""
"2010","France","AR","Females","Total","First time applicant","Person","0",""
"2010","France","BO","Total","Total","First time applicant","Person","10",""
"2010","France","BO","Males","Total","First time applicant","Person","5",""
"2010","France","BO","Females","Total","First time applicant","Person","5",""
"2010","France","BR","Total","Total","First time applicant","Person","20",""
"2010","France","BR","Males","Total","First time applicant","Person","10",""
"2010","France","BR","Females","Total","First time applicant","Person","5",""
"2010","France","CL","Total","Total","First time applicant","Person","5",""
"2010","France","CL","Males","Total","First time applicant","Person","0",""
"2010","France","CL","Females","Total","First time applicant","Person","0",""
"2010","France","CO","Total","Total","First time applicant","Person","125",""
"2010","France","CO","Males","Total","First time applicant","Person","70",""
"2010","France","CO","Females","Total","First time applicant","Person","55",""
"2010","France","EC","Total","Total","First time applicant","Person","10",""
"2010","France","EC","Males","Total","First time applicant","Person","5",""
"2010","France","EC","Females","Total","First time applicant","Person","5",""
"2010","France","GY","Total","Total","First time applicant","Person","15",""
"2010","France","GY","Males","Total","First time applicant","Person","15",""
"2010","France","GY","Females","Total","First time applicant","Person","5",""
"2010","France","PY","Total","Total","First time applicant","Person","0",""
"2010","France","PY","Males","Total","First time applicant","Person","0",""
"2010","France","PY","Females","Total","First time applicant","Person","0",""
"2010","France","PE","Total","Total","First time applicant","Person","135",""
"2010","France","PE","Males","Total","First time applicant","Person","65",""
"2010","France","PE","Females","Total","First time applicant","Person","70",""
"2010","France","SR","Total","Total","First time applicant","Person","5",""
"2010","France","SR","Males","Total","First time applicant","Person","5",""
"2010","France","SR","Females","Total","First time applicant","Person","0",""
"2010","France","UY","Total","Total","First time applicant","Person","0",""
"2010","France","UY","Males","Total","First time applicant","Person","0",""
"2010","France","UY","Females","Total","First time applicant","Person","0",""
"2010","France","VE","Total","Total","First time applicant","Person","5",""
"2010","France","VE","Males","Total","First time applicant","Person","5",""
"2010","France","VE","Females","Total","First time applicant","Person","0",""
"2010","France","KZ","Total","Total","First time applicant","Person","155",""
"2010","France","KZ","Males","Total","First time applicant","Person","100",""
"2010","France","KZ","Females","Total","First time applicant","Person","60",""
"2010","France","KG","Total","Total","First time applicant","Person","80",""
"2010","France","KG","Males","Total","First time applicant","Person","45",""
"2010","France","KG","Females","Total","First time applicant","Person","35",""
"2010","France","TJ","Total","Total","First time applicant","Person","15",""
"2010","France","TJ","Males","Total","First time applicant","Person","10",""
"2010","France","TJ","Females","Total","First time applicant","Person","5",""
"2010","France","TM","Total","Total","First time applicant","Person","0",""
"2010","France","TM","Males","Total","First time applicant","Person","0",""
"2010","France","TM","Females","Total","First time applicant","Person","0",""
"2010","France","UZ","Total","Total","First time applicant","Person","20",""
"2010","France","UZ","Males","Total","First time applicant","Person","15",""
"2010","France","UZ","Females","Total","First time applicant","Person","5",""
"2010","France","CN","Total","Total","First time applicant","Person","1,940",""
"2010","France","CN","Males","Total","First time applicant","Person","845",""
"2010","France","CN","Females","Total","First time applicant","Person","1,095",""
"2010","France","JP","Total","Total","First time applicant","Person","0",""
"2010","France","JP","Males","Total","First time applicant","Person","0",""
"2010","France","JP","Females","Total","First time applicant","Person","0",""
"2010","France","MN","Total","Total","First time applicant","Person","155",""
"2010","France","MN","Males","Total","First time applicant","Person","80",""
"2010","France","MN","Females","Total","First time applicant","Person","75",""
"2010","France","KP","Total","Total","First time applicant","Person","45",""
"2010","France","KP","Males","Total","First time applicant","Person","25",""
"2010","France","KP","Females","Total","First time applicant","Person","20",""
"2010","France","KR","Total","Total","First time applicant","Person","0",""
"2010","France","KR","Males","Total","First time applicant","Person","0",""
"2010","France","KR","Females","Total","First time applicant","Person","0",""
"2010","France","TW","Total","Total","First time applicant","Person","0",""
"2010","France","TW","Males","Total","First time applicant","Person","0",""
"2010","France","TW","Females","Total","First time applicant","Person","0",""
"2010","France","AF","Total","Total","First time applicant","Person","770",""
"2010","France","AF","Males","Total","First time applicant","Person","700",""
"2010","France","AF","Females","Total","First time applicant","Person","70",""
"2010","France","BD","Total","Total","First time applicant","Person","3,150",""
"2010","France","BD","Males","Total","First time applicant","Person","3,005",""
"2010","France","BD","Females","Total","First time applicant","Person","145",""
"2010","France","BT","Total","Total","First time applicant","Person","40",""
"2010","France","BT","Males","Total","First time applicant","Person","35",""
"2010","France","BT","Females","Total","First time applicant","Person","5",""
"2010","France","IN","Total","Total","First time applicant","Person","50",""
"2010","France","IN","Males","Total","First time applicant","Person","40",""
"2010","France","IN","Females","Total","First time applicant","Person","10",""
"2010","France","IR","Total","Total","First time applicant","Person","400",""
"2010","France","IR","Males","Total","First time applicant","Person","250",""
"2010","France","IR","Females","Total","First time applicant","Person","150",""
"2010","France","MV","Total","Total","First time applicant","Person","0",""
"2010","France","MV","Males","Total","First time applicant","Person","0",""
"2010","France","MV","Females","Total","First time applicant","Person","0",""
"2010","France","NP","Total","Total","First time applicant","Person","70",""
"2010","France","NP","Males","Total","First time applicant","Person","60",""
"2010","France","NP","Females","Total","First time applicant","Person","10",""
"2010","France","PK","Total","Total","First time applicant","Person","895",""
"2010","France","PK","Males","Total","First time applicant","Person","840",""
"2010","France","PK","Females","Total","First time applicant","Person","55",""
"2010","France","LK","Total","Total","First time applicant","Person","2,870",""
"2010","France","LK","Males","Total","First time applicant","Person","1,975",""
"2010","France","LK","Females","Total","First time applicant","Person","895",""
"2010","France","BN","Total","Total","First time applicant","Person","0",""
"2010","France","BN","Males","Total","First time applicant","Person","0",""
"2010","France","BN","Females","Total","First time applicant","Person","0",""
"2010","France","KH","Total","Total","First time applicant","Person","25",""
"2010","France","KH","Males","Total","First time applicant","Person","20",""
"2010","France","KH","Females","Total","First time applicant","Person","5",""
"2010","France","ID","Total","Total","First time applicant","Person","0",""
"2010","France","ID","Males","Total","First time applicant","Person","0",""
"2010","France","ID","Females","Total","First time applicant","Person","0",""
"2010","France","LA","Total","Total","First time applicant","Person","10",""
"2010","France","LA","Males","Total","First time applicant","Person","5",""
"2010","France","LA","Females","Total","First time applicant","Person","5",""
"2010","France","MY","Total","Total","First time applicant","Person","10",""
"2010","France","MY","Males","Total","First time applicant","Person","5",""
"2010","France","MY","Females","Total","First time applicant","Person","5",""
"2010","France","MM","Total","Total","First time applicant","Person","85",""
"2010","France","MM","Males","Total","First time applicant","Person","80",""
"2010","France","MM","Females","Total","First time applicant","Person","5",""
"2010","France","PH","Total","Total","First time applicant","Person","5",""
"2010","France","PH","Males","Total","First time applicant","Person","0",""
"2010","France","PH","Females","Total","First time applicant","Person","0",""
"2010","France","SG","Total","Total","First time applicant","Person","0",""
"2010","France","SG","Males","Total","First time applicant","Person","0",""
"2010","France","SG","Females","Total","First time applicant","Person","0",""
"2010","France","TH","Total","Total","First time applicant","Person","35",""
"2010","France","TH","Males","Total","First time applicant","Person","15",""
"2010","France","TH","Females","Total","First time applicant","Person","20",""
"2010","France","TL","Total","Total","First time applicant","Person","0",""
"2010","France","TL","Males","Total","First time applicant","Person","0",""
"2010","France","TL","Females","Total","First time applicant","Person","0",""
"2010","France","VN","Total","Total","First time applicant","Person","35",""
"2010","France","VN","Males","Total","First time applicant","Person","20",""
"2010","France","VN","Females","Total","First time applicant","Person","10",""
"2010","France","AM","Total","Total","First time applicant","Person","1,775",""
"2010","France","AM","Males","Total","First time applicant","Person","900",""
"2010","France","AM","Females","Total","First time applicant","Person","875",""
"2010","France","AZ","Total","Total","First time applicant","Person","770",""
"2010","France","AZ","Males","Total","First time applicant","Person","380",""
"2010","France","AZ","Females","Total","First time applicant","Person","390",""
"2010","France","BH","Total","Total","First time applicant","Person","0",""
"2010","France","BH","Males","Total","First time applicant","Person","0",""
"2010","France","BH","Females","Total","First time applicant","Person","0",""
"2010","France","GE","Total","Total","First time applicant","Person","1,355",""
"2010","France","GE","Males","Total","First time applicant","Person","760",""
"2010","France","GE","Females","Total","First time applicant","Person","590",""
"2010","France","IQ","Total","Total","First time applicant","Person","435",""
"2010","France","IQ","Males","Total","First time applicant","Person","260",""
"2010","France","IQ","Females","Total","First time applicant","Person","180",""
"2010","France","IL","Total","Total","First time applicant","Person","5",""
"2010","France","IL","Males","Total","First time applicant","Person","5",""
"2010","France","IL","Females","Total","First time applicant","Person","0",""
"2010","France","JO","Total","Total","First time applicant","Person","10",""
"2010","France","JO","Males","Total","First time applicant","Person","5",""
"2010","France","JO","Females","Total","First time applicant","Person","5",""
"2010","France","KW","Total","Total","First time applicant","Person","0",""
"2010","France","KW","Males","Total","First time applicant","Person","0",""
"2010","France","KW","Females","Total","First time applicant","Person","0",""
"2010","France","LB","Total","Total","First time applicant","Person","40",""
"2010","France","LB","Males","Total","First time applicant","Person","25",""
"2010","France","LB","Females","Total","First time applicant","Person","15",""
"2010","France","PS","Total","Total","First time applicant","Person","130",""
"2010","France","PS","Males","Total","First time applicant","Person","105",""
"2010","France","PS","Females","Total","First time applicant","Person","25",""
"2010","France","OM","Total","Total","First time applicant","Person","0",""
"2010","France","OM","Males","Total","First time applicant","Person","0",""
"2010","France","OM","Females","Total","First time applicant","Person","0",""
"2010","France","QA","Total","Total","First time applicant","Person","0",""
"2010","France","QA","Males","Total","First time applicant","Person","0",""
"2010","France","QA","Females","Total","First time applicant","Person","0",""
"2010","France","SA","Total","Total","First time applicant","Person","0",""
"2010","France","SA","Males","Total","First time applicant","Person","0",""
"2010","France","SA","Females","Total","First time applicant","Person","0",""
"2010","France","SY","Total","Total","First time applicant","Person","195",""
"2010","France","SY","Males","Total","First time applicant","Person","125",""
"2010","France","SY","Females","Total","First time applicant","Person","70",""
"2010","France","AE","Total","Total","First time applicant","Person","0",""
"2010","France","AE","Males","Total","First time applicant","Person","0",""
"2010","France","AE","Females","Total","First time applicant","Person","0",""
"2010","France","YE","Total","Total","First time applicant","Person","5",""
"2010","France","YE","Males","Total","First time applicant","Person","5",""
"2010","France","YE","Females","Total","First time applicant","Person","0",""
"2010","France","AU","Total","Total","First time applicant","Person","0",""
"2010","France","AU","Males","Total","First time applicant","Person","0",""
"2010","France","AU","Females","Total","First time applicant","Person","0",""
"2010","France","NZ","Total","Total","First time applicant","Person","0",""
"2010","France","NZ","Males","Total","First time applicant","Person","0",""
"2010","France","NZ","Females","Total","First time applicant","Person","0",""
"2010","France","FJ","Total","Total","First time applicant","Person","0",""
"2010","France","FJ","Males","Total","First time applicant","Person","0",""
"2010","France","FJ","Females","Total","First time applicant","Person","0",""
"2010","France","PG","Total","Total","First time applicant","Person","0",""
"2010","France","PG","Males","Total","First time applicant","Person","0",""
"2010","France","PG","Females","Total","First time applicant","Person","0",""
"2010","France","SB","Total","Total","First time applicant","Person","0",""
"2010","France","SB","Males","Total","First time applicant","Person","0",""
"2010","France","SB","Females","Total","First time applicant","Person","0",""
"2010","France","VU","Total","Total","First time applicant","Person","0",""
"2010","France","VU","Males","Total","First time applicant","Person","0",""
"2010","France","VU","Females","Total","First time applicant","Person","0",""
"2010","France","KI","Total","Total","First time applicant","Person","0",""
"2010","France","KI","Males","Total","First time applicant","Person","0",""
"2010","France","KI","Females","Total","First time applicant","Person","0",""
"2010","France","MH","Total","Total","First time applicant","Person","0",""
"2010","France","MH","Males","Total","First time applicant","Person","0",""
"2010","France","MH","Females","Total","First time applicant","Person","0",""
"2010","France","FM","Total","Total","First time applicant","Person","0",""
"2010","France","FM","Males","Total","First time applicant","Person","0",""
"2010","France","FM","Females","Total","First time applicant","Person","0",""
"2010","France","NR","Total","Total","First time applicant","Person","0",""
"2010","France","NR","Males","Total","First time applicant","Person","0",""
"2010","France","NR","Females","Total","First time applicant","Person","0",""
"2010","France","PW","Total","Total","First time applicant","Person","0",""
"2010","France","PW","Males","Total","First time applicant","Person","0",""
"2010","France","PW","Females","Total","First time applicant","Person","0",""
"2010","France","CK","Total","Total","First time applicant","Person","0",""
"2010","France","CK","Males","Total","First time applicant","Person","0",""
"2010","France","CK","Females","Total","First time applicant","Person","0",""
"2010","France","WS","Total","Total","First time applicant","Person","0",""
"2010","France","WS","Males","Total","First time applicant","Person","0",""
"2010","France","WS","Females","Total","First time applicant","Person","0",""
"2010","France","TO","Total","Total","First time applicant","Person","0",""
"2010","France","TO","Males","Total","First time applicant","Person","0",""
"2010","France","TO","Females","Total","First time applicant","Person","0",""
"2010","France","TV","Total","Total","First time applicant","Person","0",""
"2010","France","TV","Males","Total","First time applicant","Person","0",""
"2010","France","TV","Females","Total","First time applicant","Person","0",""
"2010","France","TOTAL","Total","Total","First time applicant","Person","48,030",""
"2010","France","TOTAL","Males","Total","First time applicant","Person","29,860",""
"2010","France","TOTAL","Females","Total","First time applicant","Person","18,170",""
"2011","France","AO","Total","Total","First time applicant","Person","690",""
"2011","France","AO","Males","Total","First time applicant","Person","320",""
"2011","France","AO","Females","Total","First time applicant","Person","370",""
"2011","France","CM","Total","Total","First time applicant","Person","220",""
"2011","France","CM","Males","Total","First time applicant","Person","125",""
"2011","France","CM","Females","Total","First time applicant","Person","95",""
"2011","France","CF","Total","Total","First time applicant","Person","60",""
"2011","France","CF","Males","Total","First time applicant","Person","35",""
"2011","France","CF","Females","Total","First time applicant","Person","25",""
"2011","France","TD","Total","Total","First time applicant","Person","150",""
"2011","France","TD","Males","Total","First time applicant","Person","95",""
"2011","France","TD","Females","Total","First time applicant","Person","60",""
"2011","France","CG","Total","Total","First time applicant","Person","770",""
"2011","France","CG","Males","Total","First time applicant","Person","405",""
"2011","France","CG","Females","Total","First time applicant","Person","365",""
"2011","France","CD","Total","Total","First time applicant","Person","3,840",""
"2011","France","CD","Males","Total","First time applicant","Person","1,860",""
"2011","France","CD","Females","Total","First time applicant","Person","1,980",""
"2011","France","GQ","Total","Total","First time applicant","Person","5",""
"2011","France","GQ","Males","Total","First time applicant","Person","0",""
"2011","France","GQ","Females","Total","First time applicant","Person","5",""
"2011","France","GA","Total","Total","First time applicant","Person","20",""
"2011","France","GA","Males","Total","First time applicant","Person","10",""
"2011","France","GA","Females","Total","First time applicant","Person","10",""
"2011","France","ST","Total","Total","First time applicant","Person","0",""
"2011","France","ST","Males","Total","First time applicant","Person","0",""
"2011","France","ST","Females","Total","First time applicant","Person","0",""
"2011","France","BI","Total","Total","First time applicant","Person","45",""
"2011","France","BI","Males","Total","First time applicant","Person","25",""
"2011","France","BI","Females","Total","First time applicant","Person","20",""
"2011","France","KM","Total","Total","First time applicant","Person","1,380",""
"2011","France","KM","Males","Total","First time applicant","Person","1,050",""
"2011","France","KM","Females","Total","First time applicant","Person","330",""
